Orbit #,"(7,2)start","(7,2)end","(7,1)start","(7,1)end","(7,0)start","(7,0)end",
180,266,293,260,335,268,328,1325
180,,,343,352,339,352,1325
180,,,355,367,358,366,1325
180,403,440,390,407,,,1325
180,458,510,462,510,476,502,1325
180,511,588,524,554,564,580,1325
180,,,558,590,,,1325
180,597,726,601,729,601,625,1325
180,,,,,635,654,1325
,,,,,,,
225,,,54,86,65,83,1285
225,113,132,120,136,94,115,1285
225,,,141,168,141,194,1285
225,,,184,192,,,1285
225,,,206,215,,,1285
225,233,305,231,321,222,349,1285
225,321,336,327,346,,,1285
225,341,368,363,402,369,401,1285
225,379,403,,,,,1285
225,,,405,414,403,413,1285
225,422,433,419,448,440,449,1285
225,468,499,461,502,493,513,1285
225,530,539,,,,,1285
225,560,571,574,648,563,633,1285
225,593,632,,,,,1285
225,751,774,748,760,,,1285
225,,,760,774,,,1285
