Orbit #,"(7,2)start","(7,2)end","(7,1)start","(7,1)end","(7,0)start","(7,0)end",,
135,391,472,391,472,391,472,,
135,516,1010,516,1010,516,1010,,
135,1069,1104,1069,1104,1069,1104,,
135,1311,1367,1311,1367,1311,1367,,
135,1405,1455,1405,1455,1405,1455,,
135,1544,1579,1544,1579,1544,1579,,
135,1701,1794,1701,1794,1701,1794,,
,,,,,,,,
126,680,1105,680,1105,680,1105,,
126,1169,1211,1169,1211,1169,1211,,
126,1218,1375,1218,1375,1218,1375,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
78,146,159,146,159,146,159,mz,
78,237,255,237,255,237,255,,
78,399,468,399,468,399,468,,
,,,,,,,,
108,246,253,246,253,246,253,,
108,297,321,297,321,297,321,,
108,729,736,729,736,729,736,,
108,856,858,856,858,856,858,108 twice?,
108,878,886,878,886,878,886,,
,,,,,,,,
12,10,40,10,40,10,40,op,
12,170,340,170,340,170,340,,
12,430,600,430,600,430,600,,
12,640,720,640,720,640,720,,
12,900,1404,900,1404,900,1404,,
,,,,,,,,
39,50,90,50,90,50,90,,
39,250,290,250,290,250,290,,
,,,,,,,,
132,80,100,80,100,80,100,,
132,620,670,620,670,620,670,,
132,980,1040,980,1040,980,1040,,
132,1050,1120,1050,1120,1050,1120,,
132,1260,1360,1260,1360,1260,1360,,
132,1480,1500,1480,1500,1480,1500,,
,,,,,,,,
75,519,529,519,529,519,529,rb,?
,,,,,,,,
115,52,201,52,201,52,201,,
115,301,354,301,354,301,354,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
54,15,68,15,68,15,68,,
54,124,214,124,214,124,214,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,0,20,0,20,0,20,,
30,300,310,300,310,300,310,,
30,995,1050,995,1050,995,1050,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
84,0,30,0,30,0,30,,
84,129,153,129,153,129,153,,
84,300,320,300,320,300,320,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
138,220,290,220,290,220,290,,
138,560,600,560,600,560,600,,
138,700,1060,700,1060,700,1060,,
138,1100,1180,1100,1180,1100,1180,,
138,1320,1340,1320,1340,1320,1340,,

